serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
SE014900`XCY0`c00238bs1`SWITCH`N/A`N/A`130 ADELAIDE ST W`XCY0
SE014095`XCY0`c03692bs1`SWITCH`N/A`N/A`1405 KING STREET EAST`XCY0
SE123276`UBV0`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`UBV0
SE123277`UBV0`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`UBV0
SE126838`YLX0`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SE126839`YLX0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SE126840`YLX0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SE126841`YLX0`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SE139113`YNY0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YNY0
SE139825`WDY0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`WDY0
SE140801`SFP0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SE140802`SFP0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SE140803`SFP0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SEW12221`YDN0`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YDN0
SEW12222`YDN0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YDN0
SEW12419`YDN0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YDN0
SEW20017`VBS0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`VBS0
SEW20033V`YLX0`N/A`N/A`N/A`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SEW20034V`YLX0`N/A`N/A`N/A`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SEW20035V`YLX0`N/A`N/A`N/A`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SEW20043V`YLX0`N/A`N/A`N/A`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YLX0
SEW20047V`UGK0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`UGK0
SEW20048V`UGK0`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`UGK0
SEW20060V`SFP0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SEW20061V`SFP0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SEW20062V`SFP0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SEW20064V`SFP0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SFP0
SEW20073`XBW0`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`XBW0
SEW20075`ZNE0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SGC0
SEW20077`VBS0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`VBS0
SEW20099`ZPM0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`ZPM0
SGBPCOLLECT01`SIN0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SIN0
SINDYCAP01`UGN0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`UGN0
SINLDAPP01`ZKQ0`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`ZKQ0
SINLDAPP02`ZKQ0`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`ZKQ0
SINPLVASMY001`SMY0`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SMY0
SINPLVASMY002`SMY0`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`SMY0
SINPLVAYNP001`YNP0`N/A`N/A`SEW20043V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`YNP0
SXSGE201`PR00`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`PR00
SXSGE202`PR00`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`PR00
SXSGL201`PR00`N/A`N/A`N/A`N/A`15 PIONEER WALK (COLO)`PR00
SXSGW201`PR00`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`PR00
XSEQL101`LR00`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL102`LR00`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL103`LR00`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL104`LR00`N/A`N/A`SEW20035V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL105`LR00`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL106`LR00`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL107`LR00`N/A`N/A`SEW20034V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
XSEQL108`LR00`N/A`N/A`SEW20033V`SINGEQX-CLU-PROD-01`15 PIONEER WALK (COLO)`LR00
SE015628`XCY0`w01635bs1`SWITCH`N/A`N/A`1625 HILLSIDE`XCY0
HALLGAT601`RDG0`osh9gallcsfs2`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`SXS0
HALLGAT602`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT605`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT606`RDG0`osh9gallcsfs2`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT607`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT608`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT609`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT610`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
HALLGAT611`RDG0`osh9gallcsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT19`WWS0`osh9gallsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT36`WWS0`osh9gallsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT37`WWS0`osh9gallsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT38`WWS0`osh9gallsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT39`WWS0`osh9gallsfs1`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT601`RDG0`osh9gallsfs2`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
NWKLGAT602`RDG0`osh9gallsfs2`SWITCH-ROUTER`N/A`N/A`165 HALSEY ST (COLO)`RDG0
SE012924`XCY0`e01904bs1`SWITCH`N/A`N/A`169 HAMPTON ROAD`XCY0
SE014062`XCY0`c04942bs1`SWITCH`N/A`N/A`189 QUEEN STREET SOUTH`XCY0
SE013733`XCY0`c05762bs1`SWITCH`N/A`N/A`1940 EGLINTON AVE E`XCY0
SE013678`XCY0`e01651bs1`SWITCH`N/A`N/A`195 MAIN STREET`XCY0
SE013950`XCY0`e02374bs1`SWITCH`N/A`N/A`1955 MOUNTAIN ROAD`XCY0
NJSPLPABPS001`XYH0`srd2cuxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`XYH0
NJSPLPAFIC400`UNR0`srd2clxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`N/A
NJSPLPAFXEFG001`VER0`srd2clxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`VER0
NJSPLPAFXEFG002`VER0`srd2clxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`VER0
NJSPLPATET007`TET0`srd2clxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`TET0
NJSPLPATET008`TET0`srd2clxn1r2`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`TET0
NJSPLPIMQM003`DT00`srd2cuxn1r1`SWITCH-ROUTER`N/A`NJMQPROD`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`DT00
NJSPLPIMQM004`DT00`N/A`N/A`N/A`NJMQPROD`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`DT00
NJSPLPVENFTP1`VVX0`N/A`N/A`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`N/A
NJSQLPABS001`XYH0`srd2cuxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`XYH0
NJSQLPABS002`XYH0`srd2cuxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`XYH0
NJSQLPAFIC400`UNR0`srd2clxn1r1`SWITCH-ROUTER`N/A`N/A`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`N/A
NJSQLPIMQM003`DT00`srd2cuxn1r1`SWITCH-ROUTER`N/A`NYMQQA`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`N/A
